algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,union,empty,jaccard,4.0,8.0,10.0,11.0,12.0,0.2861963523227549,3.8335278034210205,0.0
custom,intersection,empty,jaccard,2.0,4.0,6.0,7.0,8.0,0.19294333504723027,4.216852426528931,802.0
custom,craftdroid,empty,jaccard,4.0,8.0,10.0,11.0,12.0,0.2861963523227549,3.866194009780884,0.0
custom,atm,empty,jaccard,2.0,4.0,6.0,7.0,8.0,0.19294333504723027,3.5631232261657715,802.0
atm_0,union,empty,jaccard,1.0,6.0,6.0,6.0,7.0,0.19476570006328794,8.496299266815186,1723.0
atm_0,intersection,empty,jaccard,4.0,5.0,7.0,8.0,8.0,0.2250524889928948,1.6186308860778809,8768.0
atm_0,craftdroid,empty,jaccard,1.0,6.0,6.0,6.0,7.0,0.19476570006328794,5.833077430725098,1723.0
atm_0,atm,empty,jaccard,4.0,5.0,7.0,8.0,8.0,0.2250524889928948,4.656660795211792,8768.0
craftdroid,union,empty,edit_distance,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,11.411787986755371,67536.0
craftdroid,intersection,empty,edit_distance,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.2971673011779785,33099.0
craftdroid,craftdroid,empty,edit_distance,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,11.193413496017456,67536.0
craftdroid,atm,empty,edit_distance,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.062472343444824,33099.0
custom,union,empty,edit_distance,2.0,3.0,7.0,8.0,10.0,0.18647747607175882,23.548009395599365,162935.0
custom,intersection,empty,edit_distance,3.0,5.0,7.0,9.0,9.0,0.21199167872704722,9.174535989761353,47043.0
custom,craftdroid,empty,edit_distance,2.0,3.0,7.0,8.0,10.0,0.18647747607175882,23.488481760025024,162935.0
custom,atm,empty,edit_distance,3.0,5.0,7.0,9.0,9.0,0.21199167872704722,8.378786325454712,47043.0
atm_0,union,empty,edit_distance,4.0,5.0,6.0,7.0,9.0,0.22511923663748865,31.02324604988098,162935.0
atm_0,intersection,empty,edit_distance,1.0,4.0,5.0,5.0,6.0,0.1468747967026778,6.73671555519104,47043.0
atm_0,craftdroid,empty,edit_distance,4.0,5.0,6.0,7.0,9.0,0.22511923663748865,26.83448338508606,162935.0
atm_0,atm,empty,edit_distance,1.0,4.0,5.0,5.0,6.0,0.1468747967026778,9.840118408203125,47043.0
